SFR ID,SFR Name,SFR Detail,Dependencies
"FAU_ARP.1","Security alarms","FAU_ARP.1.1
The TSF shall take [assignment: list of actions] upon detection of a potential security 
violation.","FAU_SAA.1"
"FAU_GEN.1","Audit data generation","FAU_GEN.1.1
The TSF shall be able to generate audit data of the following auditable events:
a) Start-up and shutdown of the audit functions;
b) All auditable events for the [selection, choose one of: minimum, basic, detailed, not specified] level of audit;
c) [assignment: other specifically defined auditable events].

FAU_GEN.1.2
The TSF shall record within the audit data at least the following information:
a) Date and time of the auditable event, type of event, subject identity (if applicable), and the outcome (success or failure) of the event;
b) For each auditable event type, based on the auditable event definitions of the functional components included in the PP, PP-Module, functional package or ST, [assignment: other audit relevant information]","FPT_STM.1"
"FAU_GEN.2","User identity association","FAU_GEN.2.1
For audit events resulting from actions of identified users, the TSF shall be able to associate 
each auditable event with the identity of the user that caused the event.","FAU_GEN.1 AND FIA_UID.1"
"FAU_SAA.1","Potential violation analysis","FAU_SAA.1.1
The TSF shall be able to apply a set of rules in monitoring the audited events and based 
upon these rules indicate a potential violation of the enforcement of the SFRs.
FAU_SAA.1.2
The TSF shall enforce the following rules for monitoring audited events:
a) Accumulation or combination of [assignment: subset of defined auditable events] known to 
indicate a potential security violation;
b) [assignment: any other rules].","FAU_GEN.1"
"FAU_SAA.2","Profile based anomaly detection","FAU_SAA.2.1
The TSF shall be able to maintain profiles of system usage, where an individual profile 
represents the historical patterns of usage performed by the member(s) of [assignment: 
the profile target group].
FAU_SAA.2.2
The TSF shall be able to maintain a suspicion rating associated with each user whose 
activity is recorded in a profile, where the suspicion rating represents the degree to which 
the user's current activity is found inconsistent with the established patterns of usage 
represented in the profile.
FAU_SAA.2.3
The TSF shall be able to indicate a possible violation of the enforcement of the SFRs when 
a user's suspicion rating exceeds the following threshold conditions [assignment: 
conditions under which anomalous activity is reported by the TSF].","FIA_UID.1"
"FAU_SAA.3","Simple attack heuristics","FAU_SAA.3.1
The TSF shall be able to maintain an internal representation of the following signature 
events [assignment: a subset of system events] that may indicate a violation of the 
enforcement of the SFRs.
FAU_SAA.3.2
The TSF shall be able to compare the signature events against the record of system activity 
discernible from an examination of [assignment: the information to be used to determine 
system activity].
FAU_SAA.3.3
The TSF shall be able to indicate a potential violation of the enforcement of the SFRs when 
a system event is found to match a signature event that indicates a potential violation of 
the enforcement of the SFRs.",""
"FAU_SAA.4","Complex attack heuristics","FAU_SAA.4.1
The TSF shall be able to maintain an internal representation of the following event sequences of 
known intrusion scenarios [assignment: list of sequences of system events whose 
occurrence are representative of known penetration scenarios] and the following signature 
events [assignment: a subset of system events] that may indicate a potential violation of the 
enforcement of the SFRs.
FAU_SAA.4.2
The TSF shall be able to compare the signature events and event sequences against the record 
of system activity discernible from an examination of [assignment: the information to be used to 
determine system activity].
FAU_SAA.4.3
The TSF shall be able to indicate a potential violation of the enforcement of the SFRs when system 
activity is found to match a signature event or event sequence that indicates a potential 
violation of the enforcement of the SFRs.",""
"FAU_SAR.1","Audit review","FAU_SAR.1.1
The TSF shall provide [assignment: authorized users] with the capability to read [assignment: list of audit information] from the audit data.
FAU_SAR.1.2
The TSF shall provide the audit data in a manner suitable for the user to interpret the
information.","FAU_GEN.1"
"FAU_SAR.2","Restricted audit review","FAU_SAR.2.1
The TSF shall prohibit all users read access to the audit data, except those users that have 
been granted explicit read access.","FAU_SAR.1"
"FAU_SAR.3","Selectable audit review","FAU_SAR.3.1
The TSF shall provide the ability to apply [assignment: methods of selection and/or 
ordering] of audit data based on [assignment: criteria with logical relations].","FAU_SAR.1"
